Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
ONE- ;/: James/NNP G./NNP |     Spence/NN->NNP     | ,/, Aloha/NNP ,/, Ore./NN
NNP G./NNP Spence/NNP ,/, |     Aloha/NN->NNP      | ,/, Ore./NNP ,/, $/$ 5,00
nce/NNP ,/, Aloha/NNP ,/, |      Ore./NN->NNP      | ,/, $/$ 5,000/CD *U*/-NON
onth/JJ suspension/NN ;/: |      Mona/NN->NNP      | Sun/NNP ,/, Jamaica/NNP E
uspension/NN ;/: Mona/NNP |      Sun/NN->NNP       | ,/, Jamaica/NNP Estates/N
 ;/: Mona/NNP Sun/NNP ,/, |    Jamaica/NN->NNP     | Estates/NNP ,/, N.Y./NNP 
P Sun/NNP ,/, Jamaica/NNP |    Estates/NN->NNP     | ,/, N.Y./NNP ,/, $/$ 60,0
U*/-NONE- ;/: William/NNP |   Swearingen/NN->NNP   | ,/, Minneapolis/NNP ,/, $
uspension/NN ;/: John/NNP |      Bew/NN->NNP       | Wong/NNP ,/, San/NNP Fran
n/NN ;/: John/NNP Bew/NNP |      Wong/NN->NNP      | ,/, San/NNP Francisco/NNP
 25,000/CD *U*/-NONE- ;/: |     Rabia/NN->NNP      | M./NNP Zayed/NNP ,/, San/
ONE- ;/: Rabia/NNP M./NNP |     Zayed/NN->NNP      | ,/, San/NNP Francisco/NNP
                   The/DT |   following/JJ->VBG    | *ICH*-2/-NONE- were/VBD n
ther/DT barred/VBN nor/CC |   suspended/VBD->VBN   | *-1/-NONE- :/: Stephanie/
/-NONE- :/: Stephanie/NNP |    Veselich/NN->NNP    | Enright/NNP ,/, Rolling/N
tephanie/NNP Veselich/NNP |    Enright/NN->NNP     | ,/, Rolling/NNP Hills/NNP
elich/NNP Enright/NNP ,/, |    Rolling/NN->NNP     | Hills/NNP ,/, Calif./NNP 
ls/NNP ,/, Calif./NNP ,/, |     fined/NN->VBN      | *-3/-NONE- $/$ 2,500/CD *
,500/CD *U*/-NONE- and/CC |    ordered/VBD->VBN    | *-3/-NONE- *-4/-NONE- to/
3/-NONE- *-4/-NONE- to/TO |    disgorge/NN->VB     | $/$ 11,762/CD *U*/-NONE- 
 11,762/CD *U*/-NONE- ;/: |     Stuart/NN->NNP     | Lane/NNP Russel/NNP ,/, G
- ;/: Stuart/NNP Lane/NNP |     Russel/NN->NNP     | ,/, Glendale/NNP ,/, Cali
P Lane/NNP Russel/NNP ,/, |    Glendale/NN->NNP    | ,/, Calif./NNP ,/, fined/
le/NNP ,/, Calif./NNP ,/, |     fined/NN->VBN      | *-5/-NONE- $/$ 2,500/CD *
,500/CD *U*/-NONE- and/CC |    ordered/VBD->VBN    | *-5/-NONE- *-6/-NONE- to/
5/-NONE- *-6/-NONE- to/TO |    disgorge/NN->VB     | $/$ 14,821/CD *U*/-NONE- 
 *U*/-NONE- ;/: Devon/NNP |     Nilson/NN->NNP     | Dahl/NNP ,/, Fountain/NNP
 ;/: Devon/NNP Nilson/NNP |      Dahl/NN->NNP      | ,/, Fountain/NNP Valley/N
P Nilson/NNP Dahl/NNP ,/, |    Fountain/NN->NNP    | Valley/NNP ,/, Calif./NNP
ey/NNP ,/, Calif./NNP ,/, |     fined/NN->VBN      | *-7/-NONE- $/$ 82,389/CD 
                  Mr./NNP |      Dahl/NN->NNP      | ,/, a/DT registered/VBN r
VBD 0/-NONE- he/PRP ``/`` |    screwed/NN->VBD     | up/RP ''/'' because/IN he
 he/PRP ``/`` screwed/VBD |       up/IN->RP        | ''/'' because/IN he/PRP d
B 0/-NONE- he/PRP was/VBD |    breaking/NN->VBG    | securities/NNS laws/NNS .
                    ``/`` |   Insurance/NNP->NN    | agents/NNS have/VBP been/
       ``/`` Insurance/NN |     agents/NN->NNS     | have/VBP been/VBN forced/
e/VBP been/VBN forced/VBN |    *-158/NN->-NONE-    | by/IN their/PRP$ companie
coming/VBG registered/VBN |      reps/NN->NNS      | ,/, ''/'' he/PRP said/VBD
/VBG compliance/NN and/CC |  security-type/NN->JJ  | training/NN so/IN that/IN
urity-type/JJ training/NN |       so/RB->IN        | that/IN we/PRP can/MD avo
IN we/PRP can/MD avoid/VB |     stupid/NN->JJ      | mistakes/NNS ./. ''/''
can/MD avoid/VB stupid/JJ |    mistakes/NN->NNS    | ./. ''/''
                   The/DT |    following/JJ->NN    | *ICH*-4/-NONE- were/VBD b
CC ,/, where/WRB */-NONE- |     noted/VBD->VBN     | *-1/-NONE- *T*-2/-NONE- ,
1/-NONE- *T*-2/-NONE- ,/, |   suspended/VBD->VBN   | *-3/-NONE- and/CC consent
ded/VBN *-3/-NONE- and/CC |   consented/NN->VBD    | to/TO findings/NNS withou
NNS without/IN *-3/-NONE- |   admitting/NN->VBG    | or/CC denying/VBG wrongdo
NONE- admitting/VBG or/CC |    denying/NN->VBG     | wrongdoing/NN :/: Edward/
/NN :/: Edward/NNP L./NNP |      Cole/NN->NNP      | ,/, Jackson/NNP ,/, Miss.
d/NNP L./NNP Cole/NNP ,/, |    Jackson/NN->NNP     | ,/, Miss./NNP ,/, $/$ 10,
e/NNP ,/, Jackson/NNP ,/, |     Miss./NN->NNP      | ,/, $/$ 10,000/CD *U*/-NO
CD *U*/-NONE- fine/NN ;/: |      Rita/NN->NNP      | Rae/NNP Cross/NNP ,/, Den
ONE- fine/NN ;/: Rita/NNP |      Rae/NN->NNP       | Cross/NNP ,/, Denver/NNP 
e/NN ;/: Rita/NNP Rae/NNP |     Cross/NN->NNP      | ,/, Denver/NNP ,/, $/$ 2,
NNP Rae/NNP Cross/NNP ,/, |     Denver/NN->NNP     | ,/, $/$ 2,500/CD *U*/-NON
/: Thomas/NNP Richard/NNP |    Meinders/NN->NNP    | ,/, Colorado/NNP Springs/
CD *U*/-NONE- fine/NN ,/, |    five-day/NN->JJ     | suspension/NN and/CC eigh
y/JJ suspension/NN and/CC |   eight-month/NN->JJ   | suspension/NN as/IN a/DT 
 suspension/NN as/IN a/DT |    principal/JJ->NN    | ;/: Ronald/NNP A./NNP Cut
incipal/NN ;/: Ronald/NNP |       A./NN->NNP       | Cutrer/NNP ,/, Baton/NNP 
/NN ;/: Ronald/NNP A./NNP |     Cutrer/NN->NNP     | ,/, Baton/NNP Rouge/NNP ,
NNP A./NNP Cutrer/NNP ,/, |     Baton/NN->NNP      | Rouge/NNP ,/, La./NNP ,/,
 Cutrer/NNP ,/, Baton/NNP |     Rouge/NN->NNP      | ,/, La./NNP ,/, $/$ 15,00
, Baton/NNP Rouge/NNP ,/, |      La./NN->NNP       | ,/, $/$ 15,000/CD *U*/-NO
*U*/-NONE- fine/NN and/CC |    one-month/NN->JJ    | suspension/NN ;/: Karl/NN
onth/JJ suspension/NN ;/: |      Karl/NN->NNP      | Grant/NNP Hale/NNP ,/, Mi
uspension/NN ;/: Karl/NNP |     Grant/NN->NNP      | Hale/NNP ,/, Midvale/NNP 
NN ;/: Karl/NNP Grant/NNP |      Hale/NN->NNP      | ,/, Midvale/NNP ,/, Utah/
NP Grant/NNP Hale/NNP ,/, |    Midvale/NN->NNP     | ,/, Utah/NNP ,/, $/$ 15,0
e/NNP ,/, Midvale/NNP ,/, |      Utah/NN->NNP      | ,/, $/$ 15,000/CD *U*/-NO
CD *U*/-NONE- fine/NN ;/: |    Clinton/NN->NNP     | P./NNP Hayne/NNP ,/, New/
NN ;/: Clinton/NNP P./NNP |     Hayne/NN->NNP      | ,/, New/NNP Orleans/NNP ,
*U*/-NONE- fine/NN and/CC |    one-week/NN->JJ     | suspension/NN ;/: Richard
NN ;/: Richard/NNP M./NNP |      Kane/NN->NNP      | ,/, Coconut/NNP Creek/NNP
d/NNP M./NNP Kane/NNP ,/, |    Coconut/NN->NNP     | Creek/NNP ,/, Fla./NNP ,/
ne/NN ;/: John/NNP B./NNP |    Merrick/NN->NNP     | ,/, Aurora/NNP ,/, Colo./
NP B./NNP Merrick/NNP ,/, |     Aurora/NN->NNP     | ,/, Colo./NNP ,/, $/$ 1,0
*U*/-NONE- fine/NN and/CC |     10-day/NN->JJ      | suspension/NN ;/: John/NN
on/NN ;/: John/NNP P./NNP |     Miller/NN->NNP     | ,/, Baton/NNP Rouge/NNP ,
NNP P./NNP Miller/NNP ,/, |     Baton/NN->NNP      | Rouge/NNP ,/, $/$ 2,000/C
 Miller/NNP ,/, Baton/NNP |     Rouge/NN->NNP      | ,/, $/$ 2,000/CD *U*/-NON
*U*/-NONE- fine/NN and/CC |    two-week/NN->JJ     | suspension/NN ;/: Randolp
week/JJ suspension/NN ;/: |    Randolph/NN->NNP    | K./NNP Pace/NNP ,/, New/N
N ;/: Randolph/NNP K./NNP |      Pace/NN->NNP      | ,/, New/NNP York/NNP ,/, 
*U*/-NONE- fine/NN and/CC |     90-day/NN->JJ      | suspension/NN ;/: Brian/N
-day/JJ suspension/NN ;/: |     Brian/NN->NNP      | D./NNP Pitcher/NNP ,/, Ne
n/NN ;/: Brian/NNP D./NNP |    Pitcher/NN->NNP     | ,/, New/NNP Providence/NN
NE- fine/NN ;/: Wayne/NNP |       A./NN->NNP       | Russo/NNP ,/, Bridgeville
e/NN ;/: Wayne/NNP A./NNP |     Russo/NN->NNP      | ,/, Bridgeville/NNP ,/, P
/NNP A./NNP Russo/NNP ,/, |  Bridgeville/NN->NNP   | ,/, Pa./NNP ,/, $/$ 4,000
P ,/, Bridgeville/NNP ,/, |      Pa./NN->NNP       | ,/, $/$ 4,000/CD *U*/-NON
*U*/-NONE- fine/NN and/CC |     15-day/NN->JJ      | suspension/NN ;/: Orville
-day/JJ suspension/NN ;/: |    Orville/NN->NNP     | Leroy/NNP Sandberg/NNP ,/
ension/NN ;/: Orville/NNP |     Leroy/NN->NNP      | Sandberg/NNP ,/, Aurora/N
;/: Orville/NNP Leroy/NNP |    Sandberg/NN->NNP    | ,/, Aurora/NNP ,/, Colo./
eroy/NNP Sandberg/NNP ,/, |     Aurora/NN->NNP     | ,/, Colo./NNP ,/, $/$ 3,5
*U*/-NONE- fine/NN and/CC |     10-day/NN->JJ      | suspension/NN ;/: Richard
NN ;/: Richard/NNP T./NNP |    Marchese/NN->NNP    | ,/, Las/NNP Vegas/NNP ,/,
P T./NNP Marchese/NNP ,/, |      Las/NN->NNP       | Vegas/NNP ,/, Nev./NNP ,/
 Marchese/NNP ,/, Las/NNP |     Vegas/NN->NNP      | ,/, Nev./NNP ,/, $/$ 5,00
,/, Las/NNP Vegas/NNP ,/, |      Nev./NN->NNP      | ,/, $/$ 5,000/CD *U*/-NON
,000/CD *U*/-NONE- and/CC |    one-year/NN->JJ     | suspension/NN ;/: Eric/NN
year/JJ suspension/NN ;/: |      Eric/NN->NNP      | G./NNP Monchecourt/NNP ,/
on/NN ;/: Eric/NNP G./NNP |  Monchecourt/NN->NNP   | ,/, Las/NNP Vegas/NNP ,/,
./NNP Monchecourt/NNP ,/, |      Las/NN->NNP       | Vegas/NNP ,/, $/$ 5,000/C
nchecourt/NNP ,/, Las/NNP |     Vegas/NN->NNP      | ,/, $/$ 5,000/CD *U*/-NON
,000/CD *U*/-NONE- and/CC |    one-year/NN->JJ     | suspension/NN ;/: and/CC 
/NN ;/: and/CC Robert/NNP |    Gerhard/NN->NNP     | Smith/NNP ,/, Carson/NNP 
Gerhard/NNP Smith/NNP ,/, |     Carson/NN->NNP     | City/NNP ,/, Nev./NNP ,/,
, Carson/NNP City/NNP ,/, |      Nev./NN->NNP      | ,/, two-year/JJ suspensio
RP was/VBD n't/RB ever/RB |    actively/NN->RB     | engaged/VBN *-1/-NONE- in
't/RB ever/RB actively/RB |    engaged/NN->VBN     | *-1/-NONE- in/IN any/DT s
/VBD *T*-2/-NONE- Mr./NNP |     Cutrer/NN->NNP     | ./.
ONE- was/VBD just/RB a/DT |     stupid/NN->JJ      | mistake/NN */-NONE- to/TO
NONE- to/TO get/VB the/DT |     license/VB->NN     | ,/, ''/'' he/PRP said/VBD
``/`` I/PRP 'd/MD just/RB |       as/IN->RB        | soon/RB not/RB get/VB int
                          |    Program/NNP->NN     | traders/NNS are/VBP fond/
am/NN traders/NNS are/VBP |      fond/NN->JJ       | of/IN *-1/-NONE- predicti
IN if/IN they/PRP are/VBP |    blocked/NN->VBN     | *-159/-NONE- in/IN the/DT
y/PRP are/VBP blocked/VBN |    *-159/NN->-NONE-    | in/IN the/DT U.S./NNP ,/,
hey/PRP will/MD simply/RB |    emigrate/NN->VB     | to/TO foreign/JJ stock/NN
C Tokyo/NNP ,/, where/WRB | computer-driven/NN->JJ | trading/NN now/RB plays/V
iven/JJ trading/NN now/RB |     plays/NN->VBZ      | a/DT small/JJ but/CC grow
ONE- a/DT number/NN of/IN |    hurdles/NN->NNS     | loom/VBP ./.
mber/NN of/IN hurdles/NNS |      loom/NN->VBP      | ./.
 ,/, probably/RB would/MD |     resist/NN->VB      | any/DT onslaught/NN of/IN
trying/VBG */-NONE- to/TO |      shrug/NN->VB      | off/RP the/DT U.S./NNP fu
G */-NONE- to/TO shrug/VB |       off/RB->RP       | the/DT U.S./NNP furor/NN 
RP$ activities/NNS and/CC |    marching/NN->VBG    | abroad/RB with/IN their/P
s/NNS and/CC marching/VBG |     abroad/NN->RB      | with/IN their/PRP$ busine
                 U.S./NNP |   stock-index/JJ->NN   | futures/NNS are/VBP n't/R
N hours/NNS do/VBP n't/RB |     overlap/NN->VB     | ./.
                   It/PRP |       all/RB->DT       | adds/VBZ up/RP to/TO a/DT
/TO a/DT barrier/NN to/TO | American-style/NN->JJ  | index/NN arbitrage/NN ,/,
am/NN trading/NN that/WDT |   *T*-253/NN->-NONE-   | seeks/VBZ *-1/-NONE- to/T
eeks/VBZ *-1/-NONE- to/TO |     exploit/NN->VB     | brief/JJ differences/NNS 
fficult/JJ */-NONE- to/TO |     imagine/NN->VB     | Japan/NNP racing/VBG *-2/
o/TO imagine/VB Japan/NNP |     racing/NN->VBG     | *-2/-NONE- to/TO introduc
-NONE- to/TO introduce/VB |  Chicago-style/NN->JJ  | stock-index/JJ futures/NN
try/NNP already/RB is/VBZ |  scrutinizing/NN->VBG  | institutional/JJ investor
cy/NN changes/NNS are/VBP |    needed/VBD->VBN     | *-160/-NONE- */-NONE- to/
es/NNS are/VBP needed/VBN |    *-160/NN->-NONE-    | */-NONE- to/TO cope/VB wi
160/-NONE- */-NONE- to/TO |      cope/NN->VB       | with/IN the/DT current/JJ
VBD 0/-NONE- *T*-2/-NONE- |     Makato/NN->NNP     | Utsumi/NNP ,/, vice/NN mi
- *T*-2/-NONE- Makato/NNP |     Utsumi/NN->NNP     | ,/, vice/NN minister/NN f
                          |    Program/NNP->NN     | trading/NN has/VBZ taken/
ding/NN has/VBZ taken/VBN |       off/RP->RB       | in/IN Japan/NNP since/IN 
POS introduction/NN of/IN |   home-market/NN->JJ   | stock-index/NN futures/NN
n/NN of/IN home-market/JJ |   stock-index/JJ->NN   | futures/NNS trading/NN on
N the/DT Tokyo/NNP and/CC |     Osaka/NN->NNP      | stock/NN exchanges/NNS ./
CC regulators/NNS are/VBP |      wary/NN->JJ       | ./.
 They/PRP have/VBP n't/RB |   forgotten/NN->VBN    | the/DT leap/NN in/IN shar
are/NN prices/NNS last/JJ |      Dec./NN->NNP      | 7/CD ,/, when/WRB the/DT 
DT first/JJ bout/NN of/IN |   foreign-led/NN->JJ   | index/NN arbitrage/NN dro
/JJ index/NN arbitrage/NN |     drove/NN->VBD      | stocks/NNS skyward/RB in/
e/NN drove/VBD stocks/NNS |     skyward/NN->RB     | in/IN the/DT last/JJ half
/JJ regulators/NNS who/WP |   *T*-254/NN->-NONE-   | thought/VBD 0/-NONE- they
2/-NONE- to/TO prevent/VB |      such/JJ->PDT      | a/DT swing/NN ./.
NNP had/VBD set/VBN up/RP |   mechanisms/NN->NNS   | 0/-NONE- *-1/-NONE- to/TO
0/-NONE- *-1/-NONE- to/TO |      limit/NN->VB      | how/WRB far/JJ futures/NN
E- to/TO limit/VB how/WRB |       far/RB->JJ       | futures/NNS prices/NNS co
- to/TO give/VB market/NN |   operators/NN->NNS    | the/DT authority/NN */-NO
thority/NN */-NONE- to/TO |     suspend/NN->VB     | trading/NN in/IN futures/
                    ``/`` |      Maybe/NN->RB      | it/PRP was/VBD n't/RB eno
/RB it/PRP was/VBD n't/RB |     enough/JJ->RB      | ,/, ''/'' a/DT Finance/NN
ors/NNS have/VBP since/IN |   tightened/NN->VBN    | controls/NNS on/IN index-
ed/VBN controls/NNS on/IN |  index-related/NN->JJ  | stock/NN purchases/NNS ./
/NNS ,/, though/IN the/DT |    Japanese/JJ->NNP    | are/VBP playing/VBG catch
 firms/NNS ,/, notably/RB |    Salomon/NN->NNP     | Inc./NNP and/CC Morgan/NN
NNP Inc./NNP ,/, have/VBP |     reaped/NN->VBN     | a/DT hefty/JJ chunk/NN of
es/NNS firms/NNS that/WDT |   *T*-255/NN->-NONE-   | have/VBP stopped/VBN *-1/
T *T*-255/-NONE- have/VBP |    stopped/VBD->VBN    | *-1/-NONE- doing/VBG inde
                  Both/DT |     Deryck/NN->NNP     | C./NNP Maughan/NNP ,/, wh
Both/DT Deryck/NNP C./NNP |    Maughan/NN->NNP     | ,/, who/WP *T*-256/-NONE-
NP Maughan/NNP ,/, who/WP |   *T*-256/NN->-NONE-   | heads/VBZ Salomon/NNP in/
 *T*-256/-NONE- heads/VBZ |    Salomon/NN->NNP     | in/IN Tokyo/NNP ,/, and/C
o/NNP ,/, and/CC John/NNP |       S./NN->NNP       | Wadsworth/NNP ,/, who/WP 
/, and/CC John/NNP S./NNP |   Wadsworth/NN->NNP    | ,/, who/WP *T*-257/-NONE-
 Wadsworth/NNP ,/, who/WP |   *T*-257/NN->-NONE-   | heads/VBZ Morgan/NNP Stan
 Stanley/NNP there/RB ,/, |    ascribe/NN->VBP     | a/DT good/JJ part/NN of/I
ability/NN */-NONE- to/TO |      offer/NN->VB      | sophisticated/JJ ,/, futu
r/VB sophisticated/JJ ,/, | futures-related/NN->JJ | investment/NN strategies/
-related/JJ investment/NN |   strategies/NN->NNS   | to/TO big/JJ institutiona
PRP do/VBP n't/RB have/VB |     plans/VBZ->NNS     | */-NONE- to/TO cut/VB bac
P has/VBZ not/RB been/VBN |   disruptive/NN->JJ    | in/IN the/DT markets/NNS 
here/RB ,/, ''/'' Mr./NNP |    Maughan/NN->NNP     | said/VBD *T*-1/-NONE- ./.
: is/VBZ big/JJ enough/RB |   *RNR*-2/NN->-NONE-   | and/CC liquid/NN enough/R
2/-NONE- and/CC liquid/NN |     enough/JJ->RB      | *RNR*-2/-NONE- that/IN th
nd/CC liquid/NN enough/RB |   *RNR*-2/NN->-NONE-   | that/IN the/DT futures/NN
                   The/DT |    British/JJ->NNP     | also/RB are/VBP scrutiniz
itish/NNP also/RB are/VBP |  scrutinizing/NN->VBG  | program/NN trades/NNS ./.
               London/NNP |     serves/NN->VBZ     | increasingly/RB as/IN a/D
                          |     Market/NNP->NN     | professionals/NNS said/VB
                Market/NN | professionals/NN->NNS  | said/VBD 0/-NONE- London/
on/NNP has/VBZ several/JJ |  attractions/NN->NNS   | ./.
                          |     First/NNP->JJ      | ,/, the/DT trading/NN is/
r/NN and/CC is/VBZ n't/RB |   reported/VBD->VBN    | *-1/-NONE- on/IN either/C
n/NNP stock/NN trading/NN |     tapes/NN->NNS      | ./.
*-1/-NONE- */-NONE- to/TO |     unwind/NN->VB      | positions/NNS before/IN U
re/IN U.S./NNP trading/NN |     begins/NN->VBZ     | ,/, but/CC at/IN prices/N
, but/CC at/IN prices/NNS |     pegged/NN->VBN     | */-NONE- to/TO the/DT pre
ious/JJ session/NN 's/POS |      Big/JJ->NNP       | Board/NNP close/NN ./.
-1/-NONE- is/VBZ done/VBN |    *-161/NN->-NONE-    | over/IN here/RB than/IN i
 *T*-2/-NONE- Richard/NNP |    Barfield/NN->NNP    | ,/, chief/NN investment/N
/IN Standard/NNP Life/NNP |   Assurance/NN->NNP    | Co./NNP ,/, which/WDT *T*
NNP Co./NNP ,/, which/WDT |   *T*-258/NN->-NONE-   | manages/VBZ about/IN #/# 
 which/WDT *T*-258/-NONE- |    manages/NN->VBZ     | about/IN #/# 15/CD billio
ONE- manages/VBZ about/IN |        #/NN->#         | 15/CD billion/CD *U*/-NON
       A/DT Financial/NNP |  Times-Stock/NN->NNP   | Exchange/NNP 100-share/JJ
es-Stock/NNP Exchange/NNP |    100-share/NN->JJ    | index/NN option/NN contra
ract/NN is/VBZ traded/VBN |    *-162/NN->-NONE-    | on/IN the/DT London/NNP S
k/NNP Exchange/NNP 's/POS |     Traded/NN->NNP     | Options/NNPS Market/NNP .
nge/NNP 's/POS Traded/NNP |    Options/NN->NNPS    | Market/NNP ./.
             And/CC an/DT |     FT-SE/NN->NNP      | futures/NNS contract/NN i
ational/NNP Financial/NNP |   Futures/NNP->NNPS    | Exchange/NNP ./.
DT contracts/NNS have/VBP |    gained/VBD->VBN     | a/DT following/NN since/I
 have/VBP gained/VBN a/DT |    following/JJ->NN    | since/IN the/DT 1987/CD g
verage/JJ number/NN of/IN |     FT-SE/NN->NNP      | option/NN contracts/NNS t
/VBZ surged/VBN nearly/RB |     tenfold/NN->RB     | since/IN the/DT contract/
his/DT year/NN ,/, the/DT |     average/JJ->NN     | of/IN daily/JJ contracts/
 totaled/VBD 9,118/CD ,/, |       up/RB->IN        | from/IN 4,645/CD a/DT yea
    But/CC a/DT survey/NN |      early/JJ->RB      | this/DT summer/NN indicat
IN the/DT volume/NN of/IN | index-options/NN->NNS  | trading/NN was/VBD only/R
e/DT size/NN of/IN the/DT |   underlying/JJ->VBG   | equity/NN market/NN ,/, e
                  This/DT |    compares/NN->VBZ    | with/IN estimates/NNS tha
s/DT compares/VBZ with/IN |   estimates/VBZ->NNS   | that/IN the/DT U.S./NNP `
/IN the/DT U.S./NNP ``/`` |  derivatives/NN->NNS   | ''/'' market/NN is/VBZ pe
haps/RB four/CD times/NNS |       as/IN->RB        | large/JJ as/IN the/DT und
/RB large/JJ as/IN the/DT |   underlying/JJ->VBG   | domestic/JJ market/NN ./.
         The/DT House/NNP |     voted/VBN->VBD     | *-1/-NONE- to/TO boost/VB
 compromise/NN measure/NN |     backed/NN->VBN     | */-NONE- by/IN President/
D after/IN a/DT debate/NN |     replete/NN->JJ     | with/IN complaints/NNS fr
aints/NNS from/IN both/DT |   proponents/NN->NNS   | and/CC critics/NNS of/IN 
of/IN a/DT substantial/JJ |    increase/VB->NN     | in/IN the/DT wage/NN floo
                          |   Advocates/NN->NNS    | said/VBD 0/-NONE- the/DT 
 said/VBD 0/-NONE- the/DT | 90-cent-an-hour/NN->JJ | rise/NN ,/, to/TO $/$ 4.2
for/IN the/DT working/VBG |      poor/JJ->NN       | ,/, while/IN opponents/NN
/VBG poor/NN ,/, while/IN |   opponents/NN->NNS    | argued/VBD that/IN the/DT
/, while/IN opponents/NNS |    argued/VBN->VBD     | that/IN the/DT increase/N
all/JJ business/NN and/CC |      cost/NN->VB       | many/JJ thousands/NNS of/
/CC the/DT legislation/NN |   reflected/NN->VBD    | a/DT compromise/NN agreed
ed/VBD a/DT compromise/NN |    agreed/VBD->VBN     | to/TO */-NONE- on/IN Tues
after/IN congressional/JJ |  Republicans/NN->NNPS  | urged/VBD the/DT White/NN
ouse/NNP *-2/-NONE- to/TO |      bend/NN->VB       | a/DT bit/NN from/IN its/P
istance/NN */-NONE- to/TO |   compromise/NN->VB    | ./.
                          |       So/RB->IN        | both/DT sides/NNS accepte
  So/IN both/DT sides/NNS |   accepted/VBN->VBD    | the/DT compromise/NN ,/, 
mpromise/NN ,/, which/WDT |   *T*-259/NN->-NONE-   | would/MD lead/VB to/TO th
/JJ wage/NN since/IN a/DT |    four-year/NN->JJ    | law/NN was/VBD enacted/VB
ur-year/JJ law/NN was/VBD |    enacted/NN->VBN     | *-163/-NONE- in/IN 1977/C
aw/NN was/VBD enacted/VBN |    *-163/NN->-NONE-    | in/IN 1977/CD ,/, *-163/-
/-NONE- in/IN 1977/CD ,/, |    *-163/NN->-NONE-    | raising/VBG the/DT wage/N
nder/IN the/DT measure/NN |    passed/VBN->VBD     | */-NONE- yesterday/NN ,/,
`` There/EX are/VBP no/DT |     smiles/NN->NNS     | about/IN this/DT bill/NN 
ill/NN ,/, ''/'' Rep./NNP |      Pat/NN->NNP       | Williams/NNP -LRB-/-LRB- 
/, ''/'' Rep./NNP Pat/NNP |    Williams/NN->NNP    | -LRB-/-LRB- D./NNP ,/, Mo
NP -LRB-/-LRB- D./NNP ,/, |      Mont/NN->NNP      | ./. -RRB-/-RRB- said/VBD 
             But/CC ``/`` |     because/RB->IN     | it/PRP 's/VBZ all/DT 0/-N
oing/VBG *-2/-NONE- to/TO |      vote/NN->VB       | for/IN it/PRP ./. ''/''
traditionally/RB been/VBN |     pegged/NN->VBN     | *-164/-NONE- at/IN half/P
ly/RB been/VBN pegged/VBN |    *-164/NN->-NONE-    | at/IN half/PDT the/DT ave
ed/VBN *-164/-NONE- at/IN |      half/DT->PDT      | the/DT average/JJ U.S./NN
CD will/MD still/RB be/VB |     less/RBR->JJR      | than/IN 35/CD %/NN of/IN 
ory/NN pay/NN ,/, Mr./NNP |    Williams/NN->NNP    | said/VBD 0/-NONE- *T*-1/-
          But/CC Rep./NNP |     Marge/NN->NNP      | Roukema/NNP -LRB-/-LRB- R
But/CC Rep./NNP Marge/NNP |    Roukema/NN->NNP     | -LRB-/-LRB- R./NNP ,/, N.
inimum/NN that/IN GOP/NNP | administrations/NN->NNS | have/VBP sought/VBN *T*-1
inistrations/NNS have/VBP |     sought/NN->VBN     | *T*-1/-NONE- for/IN many/
                 */-NONE- |    Adopting/NN->VBG    | a/DT training-wage/JJ pol
/-NONE- Adopting/VBG a/DT |  training-wage/NN->JJ  | policy/NN means/VBZ ``/``
age/NN ,/, ''/'' Mrs./NNP |    Roukema/NN->NNP     | said/VBD 0/-NONE- *T*-1/-
ping/VBG *-1/-NONE- to/TO |      limit/NN->VB      | the/DT loss/NN of/IN jobs
 but/CC they/PRP have/VBP |     lately/NN->RB      | touted/VBN it/PRP as/RB n
ey/PRP have/VBP lately/RB |     touted/NN->VBN     | it/PRP as/RB necessary/JJ
tely/RB touted/VBN it/PRP |       as/IN->RB        | necessary/JJ *-2/-NONE- t
 to/TO help/VB *-3/-NONE- |     impart/NN->VB      | job/NN skills/NNS to/TO e
3/-NONE- impart/VB job/NN |     skills/NN->NNS     | to/TO entrants/NNS into/I
B job/NN skills/NNS to/TO |    entrants/NN->NNS    | into/IN the/DT work/NN fo
abor/NN unions/NNS and/CC |   Democrats/NN->NNPS   | long/RB fought/VBD the/DT
NNS and/CC Democrats/NNPS |      long/JJ->RB       | fought/VBD the/DT idea/NN
CC Democrats/NNPS long/RB |     fought/NN->VBD     | the/DT idea/NN ,/, but/CC
NN ,/, but/CC recently/RB |    acceded/NN->VBD     | to/TO it/PRP in/IN the/DT
     The/DT compromise/NN |     sets/NNS->VBZ      | the/DT training/NN wage/N
                          |   Employers/NN->NNS    | can/MD pay/VB the/DT subm
f/IN job/NN experience/NN |    *NOT*/NN->-NONE-    | ,/, and/CC for/IN another
S if/IN the/DT company/NN |     uses/NNS->VBZ      | a/DT government-certified
 company/NN uses/VBZ a/DT | government-certified/NN->JJ | training/NN program/NN fo
he/DT training/NN wage/NN |     covers/NN->VBZ     | only/JJ workers/NNS who/W
ing/NN wage/NN covers/VBZ |      only/RB->JJ       | workers/NNS who/WP *T*-26
nly/JJ workers/NNS who/WP |   *T*-260/NN->-NONE-   | are/VBP 16/CD to/TO 19/CD
 insisted/VBD on/IN an/DT |  unrestricted/NN->JJ   | six-month/JJ training/NN 
- could/MD be/VB paid/VBN |    *-165/NN->-NONE-    | any/DT time/NN 0/-NONE- a
