Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
$ claims/NNS ''/'' now/RB |     before/IN->RB      | the/DT number/NN of/IN av
RB the/DT number/NN of/IN |    available/NN->JJ    | nations/NNS runs/VBZ out/
 available/JJ nations/NNS |      runs/NN->VBZ      | out/RP ,/, says/VBZ *T*-2
e/JJ nations/NNS runs/VBZ |       out/IN->RP       | ,/, says/VBZ *T*-2/-NONE-
,/, says/VBZ *T*-2/-NONE- |    Michael/NN->NNP     | Porter/NNP ,/, an/DT anal
 *T*-2/-NONE- Michael/NNP |     Porter/NN->NNP     | ,/, an/DT analyst/NN at/I
/, an/DT analyst/NN at/IN |     Smith/NN->NNP      | Barney/NNP ,/, Harris/NNP
nalyst/NN at/IN Smith/NNP |     Barney/NN->NNP     | ,/, Harris/NNP Upham/NNP 
 Smith/NNP Barney/NNP ,/, |     Harris/NN->NNP     | Upham/NNP &/CC Co./NNP ,/
Barney/NNP ,/, Harris/NNP |     Upham/NN->NNP      | &/CC Co./NNP ,/, New/NNP 
                          |     Behind/NN->IN      | all/DT the/DT hoopla/NN i
/VBZ *T*-1/-NONE- some/DT |   heavy-duty/NN->JJ    | competition/NN ./.
                          |       As/NN->IN        | individual/JJ investors/N
                    As/IN |   individual/NN->JJ    | investors/NNS have/VBP tu
JJ investors/NNS have/VBP |    turned/VBD->VBN     | away/RB from/IN the/DT st
es/NNS firms/NNS have/VBP |   scrambled/NN->VBN    | *-1/-NONE- to/TO find/VB 
bled/VBN *-1/-NONE- to/TO |      find/NN->VB       | new/JJ products/NNS that/
/JJ products/NNS that/WDT |    brokers/NN->NNS     | find/VBP *T*-40/-NONE- ea
/NNS that/WDT brokers/NNS |      find/NN->VBP      | *T*-40/-NONE- easy/JJ 0/-
/WDT brokers/NNS find/VBP |   *T*-40/NN->-NONE-    | easy/JJ 0/-NONE- */-NONE-
NS find/VBP *T*-40/-NONE- |      easy/NN->JJ       | 0/-NONE- */-NONE- to/TO s
J 0/-NONE- */-NONE- to/TO |      sell/NN->VB       | *T*-2/-NONE- ./.
 the/DT firms/NNS are/VBP |   stretching/NN->VBG   | their/PRP$ nets/NNS far/R
stretching/VBG their/PRP$ |      nets/NN->NNS      | far/RB and/CC wide/RB *-1
P$ nets/NNS far/RB and/CC |      wide/NN->RB       | *-1/-NONE- to/TO do/VB it
 wide/RB *-1/-NONE- to/TO |       do/VBP->VB       | it/PRP ./.
                          |   Financial/NNP->JJ    | planners/NNS often/RB urg
             Financial/JJ |    planners/NN->NNS    | often/RB urge/VBP investo
Financial/JJ planners/NNS |      often/NN->RB      | urge/VBP investors/NNS *-
/JJ planners/NNS often/RB |      urge/NN->VBP      | investors/NNS *-1/-NONE- 
tors/NNS *-1/-NONE- to/TO |    diversify/NN->VB    | and/CC to/TO hold/VB a/DT
diversify/VB and/CC to/TO |      hold/NN->VB       | a/DT smattering/NN of/IN 
           And/CC many/JJ |    emerging/NN->VBG    | markets/NNS have/VBP outp
d/CC many/JJ emerging/VBG |    markets/NN->NNS     | have/VBP outpaced/VBN mor
/VBG markets/NNS have/VBP |    outpaced/NN->VBN    | more/RBR mature/JJ market
VBP outpaced/VBN more/RBR |     mature/NN->JJ      | markets/NNS ,/, such/JJ a
ed/VBN more/RBR mature/JJ |    markets/NN->NNS     | ,/, such/JJ as/IN the/DT 
     Country/NN funds/NNS |     offer/VB->VBP      | an/DT easy/JJ way/NN 0/-N
funds/NNS offer/VBP an/DT |      easy/NN->JJ       | way/NN 0/-NONE- */-NONE- 
N 0/-NONE- */-NONE- to/TO |       get/NN->VB       | a/DT taste/NN of/IN forei
taste/NN of/IN foreign/JJ |     stocks/NN->NNS     | without/IN the/DT hard/JJ
cks/NNS without/IN the/DT |      hard/RB->JJ       | research/NN of/IN */-NONE
-NONE- seeking/VBG out/RP |   individual/NN->JJ    | companies/NNS *T*-1/-NONE
P does/VBZ n't/RB take/VB |      much/RB->JJ       | */-NONE- to/TO get/VB bur
VB much/JJ */-NONE- to/TO |       get/NN->VB       | burned/VBN *-1/-NONE- ./.
/JJ */-NONE- to/TO get/VB |     burned/NN->VBN     | *-1/-NONE- ./.
                          |    Political/NN->JJ    | and/CC currency/NN gyrati
cal/JJ and/CC currency/NN |   gyrations/NN->NNS    | can/MD whipsaw/VB the/DT 
y/NN gyrations/NNS can/MD |     whipsaw/NN->VB     | the/DT funds/NNS ./.
                          |     Another/NN->DT     | concern/NN :/: The/DT fun
 funds/NNS '/POS share/NN |     prices/NN->NNS     | tend/VBP *-1/-NONE- to/TO
'/POS share/NN prices/NNS |      tend/NN->VBP      | *-1/-NONE- to/TO swing/VB
tend/VBP *-1/-NONE- to/TO |      swing/NN->VB      | more/RBR than/IN the/DT b
B more/RBR than/IN the/DT |    broader/NN->JJR     | market/NN ./.
/NN market/NN dropped/VBD |     nearly/NN->RB      | 7/CD %/NN Oct./NNP 13/CD 
d/VBD nearly/RB 7/CD %/NN |      Oct./NN->NNP      | 13/CD *T*-1/-NONE- ,/, fo
he/DT Mexico/NNP Fund/NNP |    plunged/NN->VBD     | about/RB 18/CD %/NN and/C
/NNP Fund/NNP plunged/VBD |      about/IN->RB      | 18/CD %/NN and/CC the/DT 
try/NN funds/NNS were/VBD |   clobbered/NN->VBN    | *-47/-NONE- more/RBR than
NS were/VBD clobbered/VBN |    *-47/NN->-NONE-     | more/RBR than/IN most/JJS
more/RBR than/IN most/JJS |     stocks/NN->NNS     | after/IN the/DT 1987/CD c
   What/WP *ICH*-1/-NONE- |   *T*-41/NN->-NONE-    | 's/VBZ so/RB wild/JJ abou
H*-1/-NONE- *T*-41/-NONE- |      's/POS->VBZ       | so/RB wild/JJ about/IN th
T*-41/-NONE- 's/VBZ so/RB |      wild/NN->JJ       | about/IN the/DT funds/NNS
funds/NNS '/POS frenzy/NN |      right/NN->RB      | now/RB is/VBZ that/IN man
Z that/IN many/JJ are/VBP |    trading/NN->VBG     | at/IN historically/RB fat
are/VBP trading/VBG at/IN |  historically/NN->RB   | fat/JJ premiums/NNS to/TO
VBG at/IN historically/RB |       fat/NN->JJ       | premiums/NNS to/TO the/DT
IN historically/RB fat/JJ |    premiums/NN->NNS    | to/TO the/DT value/NN of/
value/NN of/IN their/PRP$ |   underlying/VBG->JJ   | portfolios/NNS ./.
 their/PRP$ underlying/JJ |   portfolios/NN->NNS   | ./.
      After/IN *-1/-NONE- |    trading/NN->VBG     | at/IN an/DT average/JJ di
rage/JJ discount/NN of/IN |     more/RBR->JJR      | than/IN 20/CD %/NN in/IN 
 than/IN 20/CD %/NN in/IN |      late/NN->JJ       | 1987/CD and/CC part/NN of
NN funds/NNS currently/RB |     trade/NN->VBP      | at/IN an/DT average/JJ pr
DT reason/NN :/: Share/NN |     prices/NN->NNS     | of/IN many/JJ of/IN these
 this/DT year/NN have/VBP |    climbed/NN->VBN     | much/RB more/RBR sharply/
than/IN the/DT foreign/JJ |     stocks/NN->NNS     | 0/-NONE- they/PRP hold/VB
cks/NNS 0/-NONE- they/PRP |      hold/NN->VBP      | *T*-1/-NONE- ./.
for/IN funds/NNS that/WDT |   *T*-42/NN->-NONE-    | invest/VBP in/IN markets/
NS that/WDT *T*-42/-NONE- |     invest/NN->VBP     | in/IN markets/NNS that/WD
2/-NONE- invest/VBP in/IN |    markets/NN->NNS     | that/WDT *T*-43/-NONE- ar
n/IN markets/NNS that/WDT |   *T*-43/NN->-NONE-    | are/VBP partially/RB clos
WDT *T*-43/-NONE- are/VBP |    partially/NN->RB    | closed/VBN to/TO foreign/
ONE- are/VBP partially/RB |    closed/VBD->VBN     | to/TO foreign/JJ investor
NNP Korea/NNP ,/, some/DT |  specialists/NN->NNS   | say/VBP 0/-NONE- *T*-1/-N
           But/CC some/DT |    European/NN->JJ     | funds/NNS recently/RB hav
/JJ funds/NNS recently/RB |      have/VB->VBP      | skyrocketed/VBN ;/: Spain
/NNS recently/RB have/VBP |  skyrocketed/NN->VBN   | ;/: Spain/NNP Fund/NNP ha
pain/NNP Fund/NNP has/VBZ |     surged/NN->VBN     | to/TO a/DT startling/JJ 1
VBZ surged/VBN to/TO a/DT |    startling/NN->JJ    | 120/CD %/NN premium/NN ./
  It/PRP has/VBZ been/VBN |    targeted/NN->VBN    | *-48/-NONE- by/IN Japanes
VBZ been/VBN targeted/VBN |    *-48/NN->-NONE-     | by/IN Japanese/JJ investo
rs/NNS as/IN a/DT good/JJ |    long-term/NN->JJ    | play/NN tied/VBN */-NONE-
d/JJ long-term/JJ play/NN |     tied/VBD->VBN      | */-NONE- to/TO 1992/CD 's
ONE- to/TO 1992/CD 's/POS |    European/NN->JJ     | economic/JJ integration/N
new/JJ funds/NNS that/WDT |   *T*-44/NN->-NONE-    | are/VBP n't/RB even/RB fu
P n't/RB even/RB fully/RB |    invested/NN->VBN    | yet/RB have/VBP jumped/VB
ly/RB invested/VBN yet/RB |      have/VB->VBP      | jumped/VBN *-1/-NONE- to/
ested/VBN yet/RB have/VBP |     jumped/NN->VBN     | *-1/-NONE- to/TO trade/VB
/TO trade/VB at/IN big/JJ |    premiums/NN->NNS    | ./.
                    ``/`` |       I/NNP->PRP       | 'm/VBP very/RB alarmed/VB
              ``/`` I/PRP |       'm/NN->VBP       | very/RB alarmed/VBN *-2/-
`/`` I/PRP 'm/VBP very/RB |    alarmed/NN->VBN     | *-2/-NONE- to/TO see/VB t
rmed/VBN *-2/-NONE- to/TO |       see/NN->VB       | these/DT rich/JJ valuatio
NE- to/TO see/VB these/DT |      rich/NN->JJ       | valuations/NNS ,/, ''/'' 
O see/VB these/DT rich/JJ |   valuations/NN->NNS   | ,/, ''/'' says/VBZ *T*-1/
/'' says/VBZ *T*-1/-NONE- |     Smith/NN->NNP      | Barney/NNP 's/POS Mr./NNP
BZ *T*-1/-NONE- Smith/NNP |     Barney/NN->NNP     | 's/POS Mr./NNP Porter/NNP
Barney/NNP 's/POS Mr./NNP |     Porter/NN->NNP     | ./.
                   The/DT |      newly/NN->RB      | fattened/VBN premiums/NNS
          The/DT newly/RB |    fattened/NN->VBN    | premiums/NNS reflect/VBP 
/DT newly/RB fattened/VBN |    premiums/NN->NNS    | reflect/VBP the/DT increa
fattened/VBN premiums/NNS |    reflect/NN->VBP     | the/DT increasingly/RB gl
ms/NNS reflect/VBP the/DT |  increasingly/NN->RB   | global/JJ marketing/NN of
BP the/DT increasingly/RB |     global/NN->JJ      | marketing/NN of/IN some/D
/NN funds/NNS ,/, Mr./NNP |     Porter/NN->NNP     | suggests/VBZ 0/-NONE- *T*
NS ,/, Mr./NNP Porter/NNP |    suggests/NN->VBZ    | 0/-NONE- *T*-1/-NONE- ./.
                          |     Unlike/NN->IN      | many/JJ U.S./NNP investor
rs/NNS ,/, those/DT in/IN |      Asia/NN->NNP      | or/CC Europe/NNP seeking/
e/DT in/IN Asia/NNP or/CC |     Europe/NN->NNP     | seeking/VBG foreign-stock
CC Europe/NNP seeking/VBG |  foreign-stock/NN->JJ  | exposure/NN may/MD be/VB 
/NN may/MD be/VB less/RBR |    resistant/NN->JJ    | to/TO */-NONE- paying/VBG
NE- paying/VBG higher/JJR |     prices/NN->NNS     | for/IN country/NN funds/N
rnational/JJ viewpoint/NN |      cast/NN->VBN      | *-2/-NONE- on/IN the/DT f
E- on/IN the/DT funds/NNS |     listed/NN->VBN     | */-NONE- here/RB ,/, ''/'
s/NNS listed/VBN */-NONE- |      here/NN->RB       | ,/, ''/'' Mr./NNP Porter/
here/RB ,/, ''/'' Mr./NNP |     Porter/NN->NNP     | says/VBZ *T*-1/-NONE- ./.
                          |   Nonetheless/NN->RB   | ,/, plenty/JJ of/IN U.S./
       Nonetheless/RB ,/, |     plenty/NN->JJ      | of/IN U.S./NNP analysts/N
 plenty/JJ of/IN U.S./NNP |    analysts/NN->NNS    | and/CC money/NN managers/
y/NN managers/NNS are/VBP |     aghast/NN->JJ      | at/IN the/DT lofty/JJ tra
BP aghast/JJ at/IN the/DT |      lofty/NN->JJ      | trading/NN levels/NNS of/
he/DT lofty/JJ trading/NN |     levels/NN->NNS     | of/IN some/DT country/NN 
IN U.S./NNP investors/NNS |      often/NN->RB      | can/MD buy/VB American/JJ
stors/NNS often/RB can/MD |       buy/NN->VB       | American/JJ depositary/JJ
can/MD buy/VB American/JJ |   depositary/NN->JJ    | receipts/NNS on/IN the/DT
American/JJ depositary/JJ |    receipts/NN->NNS    | on/IN the/DT big/JJ stock
s/NNS on/IN the/DT big/JJ |     stocks/NN->NNS     | in/IN many/JJ funds/NNS ;
;/: these/DT so-called/JJ |     ADRs/NN->NNPS      | represent/VBP shares/NNS 
DT so-called/JJ ADRs/NNPS |   represent/NN->VBP    | shares/NNS of/IN foreign/
 foreign/JJ companies/NNS |     traded/NN->VBN     | */-NONE- in/IN the/DT U.S
y/NN investors/NNS can/MD |   essentially/NN->RB   | buy/VB the/DT funds/NNS w
NNS can/MD essentially/RB |       buy/NN->VB       | the/DT funds/NNS without/
 For/IN people/NNS who/WP |   *T*-45/NN->-NONE-    | insist/VBP on/RP *-5/-NON
/NNS who/WP *T*-45/-NONE- |     insist/NN->VBP     | on/RP *-5/-NONE- jumping/
 *T*-45/-NONE- insist/VBP |       on/IN->RP        | *-5/-NONE- jumping/VBG in
sist/VBP on/RP *-5/-NONE- |    jumping/NN->VBG     | in/RB now/RB *-1/-NONE- t
RP *-5/-NONE- jumping/VBG |       in/IN->RB        | now/RB *-1/-NONE- to/TO b
B now/RB *-1/-NONE- to/TO |       buy/NN->VB       | the/DT funds/NNS ,/, Newg
y/VB the/DT funds/NNS ,/, |    Newgate/NN->NNP     | 's/POS Mr./NNP Foot/NNP s
ewgate/NNP 's/POS Mr./NNP |      Foot/NN->NNP      | says/VBZ :/: ``/`` The/DT
nly/JJ advice/NN 0/-NONE- |       I/NNP->PRP       | have/VBP *T*-2/-NONE- for
-2/-NONE- for/IN these/DT |     folks/NN->NNS      | is/VBZ that/IN those/DT w
se/DT who/WP *T*-3/-NONE- |      come/VB->VBP      | to/TO the/DT party/NN lat
VBP to/TO the/DT party/NN |      late/NN->RB       | had/VBD better/RBR *-4/-N
 party/NN late/RB had/VBD |     better/NN->RBR     | *-4/-NONE- be/VB ready/JJ
tter/RBR *-4/-NONE- be/VB |      ready/NN->JJ      | *-4/-NONE- to/TO leave/VB
*-4/-NONE- to/TO leave/VB |     quickly/NN->RB     | ./.
   The/DT U.S./NNP and/CC |     Soviet/NN->NNP     | Union/NNP are/VBP holding
.S./NNP and/CC Soviet/NNP |     Union/NN->NNP      | are/VBP holding/VBG techn
n/NNP are/VBP holding/VBG |    technical/NN->JJ    | talks/NNS about/IN possib
 holding/VBG technical/JJ |     talks/NN->NNS      | about/IN possible/JJ repa
ble/JJ repayment/NN by/IN |     Moscow/NN->NNP     | of/IN $/$ 188/CD million/
llion/CD *U*/-NONE- in/IN |  pre-Communist/NN->JJ  | Russian/JJ debts/NNS owed
E- in/IN pre-Communist/JJ |     Russian/NN->JJ     | debts/NNS owed/VBD */-NON
e-Communist/JJ Russian/JJ |     debts/NN->NNS      | owed/VBD */-NONE- to/TO t
t/JJ Russian/JJ debts/NNS |      owed/NN->VBD      | */-NONE- to/TO the/DT U.S
 government/NN ,/, the/DT |     State/NN->NNP      | Department/NNP said/VBD 0
t/NN ,/, the/DT State/NNP |   Department/NN->NNP   | said/VBD 0/-NONE- *T*-2/-
                          |       If/NN->IN        | the/DT debts/NNS are/VBP 
             If/IN the/DT |     debts/NN->NNS      | are/VBP repaid/VBN *-49/-
 the/DT debts/NNS are/VBP |     repaid/NN->VBN     | *-49/-NONE- ,/, it/PRP co
ts/NNS are/VBP repaid/VBN |    *-49/NN->-NONE-     | ,/, it/PRP could/MD clear
NONE- ,/, it/PRP could/MD |      clear/NN->VB      | the/DT way/NN 0/-NONE- fo
DT way/NN 0/-NONE- for/IN |     Soviet/NN->JJ      | bonds/NNS to/TO be/VB sol
/NNS to/TO be/VB sold/VBN |    *-50/NN->-NONE-     | in/IN the/DT U.S./NNP *T*
etings/NNS with/IN the/DT |    Soviets/NN->NNS     | ,/, a/DT State/NNP Depart
e/DT Soviets/NNS ,/, a/DT |     State/NN->NNP      | Department/NNP spokesman/
ts/NNS ,/, a/DT State/NNP |   Department/NN->NNP   | spokesman/NN said/VBD tha
N said/VBD that/IN it/PRP |   *EXP*-1/NN->-NONE-   | 's/VBZ ``/`` too/RB early
/IN it/PRP *EXP*-1/-NONE- |      's/POS->VBZ       | ``/`` too/RB early/RB */-
NONE- 's/VBZ ``/`` too/RB |      early/JJ->RB      | */-NONE- to/TO say/VB ''/
B early/RB */-NONE- to/TO |      say/VBP->VB       | ''/'' whether/IN that/DT 
hether/IN that/DT will/MD |     happen/NN->VB      | ./.
                          |   Coincident/NN->JJ    | with/IN the/DT talks/NNS 
ncident/JJ with/IN the/DT |     talks/NN->NNS      | ,/, the/DT State/NNP Depa
e/DT talks/NNS ,/, the/DT |     State/NN->NNP      | Department/NNP said/VBD 0
/NNS ,/, the/DT State/NNP |   Department/NN->NNP   | said/VBD 0/-NONE- it/PRP 
D 0/-NONE- it/PRP has/VBZ |   permitted/NN->VBN    | a/DT Soviet/JJ bank/NN to
as/VBZ permitted/VBN a/DT |     Soviet/NN->JJ      | bank/NN to/TO open/VB a/D
T Soviet/JJ bank/NN to/TO |      open/JJ->VB       | a/DT New/NNP York/NNP bra
ank/NN to/TO open/VB a/DT |      New/JJ->NNP       | York/NNP branch/NN ./.
DT branch/NN of/IN the/DT |      Bank/NN->NNP      | for/IN Foreign/NNP Econom
IN the/DT Bank/NNP for/IN |    Foreign/NN->NNP     | Economic/NNP Affairs/NNP 
nk/NNP for/IN Foreign/NNP |    Economic/NN->NNP    | Affairs/NNP was/VBD appro
 Foreign/NNP Economic/NNP |    Affairs/NN->NNP     | was/VBD approved/VBN *-1/
c/NNP Affairs/NNP was/VBD |   approved/VBD->VBN    | *-1/-NONE- last/JJ spring
              But/CC a/DT |     Soviet/NN->JJ      | bank/NN here/RB would/MD 
CC a/DT Soviet/JJ bank/NN |      here/NN->RB       | would/MD be/VB crippled/V
NN here/RB would/MD be/VB |    crippled/NN->VBN    | *-51/-NONE- unless/IN Mos
uld/MD be/VB crippled/VBN |    *-51/NN->-NONE-     | unless/IN Moscow/NNP foun
 crippled/VBN *-51/-NONE- |     unless/NN->IN      | Moscow/NNP found/VBD a/DT
VBN *-51/-NONE- unless/IN |     Moscow/NN->NNP     | found/VBD a/DT way/NN 0/-
ONE- unless/IN Moscow/NNP |     found/VBN->VBD     | a/DT way/NN 0/-NONE- */-N
N 0/-NONE- */-NONE- to/TO |     settle/NN->VB      | the/DT $/$ 188/CD million
/WDT *T*-1/-NONE- was/VBD |      lent/NN->VBN      | *-52/-NONE- to/TO the/DT 
1/-NONE- was/VBD lent/VBN |    *-52/NN->-NONE-     | to/TO the/DT country/NN '
 the/DT country/NN 's/POS |   short-lived/NN->JJ   | democratic/JJ Kerensky/NN
/NN 's/POS short-lived/JJ |   democratic/NN->JJ    | Kerensky/NNP government/N
rt-lived/JJ democratic/JJ |    Kerensky/NN->NNP    | government/NN before/IN t
nment/NN before/IN the/DT |   Communists/NN->NNS   | seized/VBD power/NN in/IN
/IN the/DT Communists/NNS |     seized/NN->VBD     | power/NN in/IN 1917/CD *T
1934/CD law/NN ,/, the/DT |    Johnson/NN->NNP     | Debt/NNP Default/NNP Act/
NN ,/, the/DT Johnson/NNP |      Debt/NN->NNP      | Default/NNP Act/NNP ,/, a
e/DT Johnson/NNP Debt/NNP |    Default/NN->NNP     | Act/NNP ,/, as/RB */-NONE
/NNP Debt/NNP Default/NNP |      Act/NN->NNP       | ,/, as/RB */-NONE- amende
ct/NNP ,/, as/RB */-NONE- |    amended/NN->VBN     | *-1/-NONE- ,/, it/PRP *EX
VBN *-1/-NONE- ,/, it/PRP |   *EXP*-2/NN->-NONE-   | 's/VBZ illegal/JJ for/IN 
,/, it/PRP *EXP*-2/-NONE- |      's/POS->VBZ       | illegal/JJ for/IN America
 's/VBZ illegal/JJ for/IN |   Americans/NN->NNS    | to/TO extend/VB credit/NN
or/IN Americans/NNS to/TO |     extend/NN->VB      | credit/NN to/TO countries
to/TO countries/NNS in/IN |     default/VB->NN     | to/TO the/DT U.S./NNP gov
.S./NNP government/NN ,/, |     unless/NN->IN      | they/PRP are/VBP members/
nless/IN they/PRP are/VBP |    members/NN->NNS     | of/IN the/DT World/NNP Ba
NS of/IN the/DT World/NNP |      Bank/NN->NNP      | and/CC International/NNP 
 and/CC International/NNP |    Monetary/NN->NNP    | Fund/NNP ./.
                   The/DT |    U.S.S.R./NN->NNP    | belongs/VBZ to/TO neither
      The/DT U.S.S.R./NNP |    belongs/NN->VBZ     | to/TO neither/DT organiza
.R./NNP belongs/VBZ to/TO |     neither/NN->DT     | organization/NN ./.
                          |     Moscow/NN->NNP     | has/VBZ settled/VBN pre-1
       Moscow/NNP has/VBZ |    settled/VBD->VBN    | pre-1917/JJ debts/NNS wit
w/NNP has/VBZ settled/VBN |    pre-1917/NN->JJ     | debts/NNS with/IN other/J
Z settled/VBN pre-1917/JJ |     debts/NN->NNS      | with/IN other/JJ countrie
recent/JJ years/NNS at/IN |     less/RBR->JJR      | than/IN face/NN value/NN 
NS at/IN less/JJR than/IN |      face/VB->NN       | value/NN ./.
                   The/DT |     State/NN->NNP      | Department/NNP stressed/V
         The/DT State/NNP |   Department/NN->NNP   | stressed/VBD the/DT pre-1
 State/NNP Department/NNP |    stressed/NN->VBD    | the/DT pre-1933/JJ debts/
t/NNP stressed/VBD the/DT |    pre-1933/NN->JJ     | debts/NNS as/IN the/DT ke
ed/VBD the/DT pre-1933/JJ |     debts/NN->NNS      | as/IN the/DT key/NN to/TO
/DT key/NN to/TO */-NONE- |   satisfying/NN->VBG   | the/DT Johnson/NNP Act/NN
NE- satisfying/VBG the/DT |    Johnson/NN->NNP     | Act/NNP ./.
ng/VBG the/DT Johnson/NNP |      Act/NN->NNP       | ./.
            But/CC the/DT |    Soviets/NN->NNS     | might/MD still/RB face/VB
might/MD still/RB face/VB |      legal/NN->JJ      | obstacles/NNS to/TO */-NO
still/RB face/VB legal/JJ |   obstacles/NN->NNS    | to/TO */-NONE- raising/VB
.S./NNP until/IN they/PRP |     settle/NN->VBP     | hundreds/NNS of/IN millio
il/IN they/PRP settle/VBP |    hundreds/NN->NNS    | of/IN millions/NNS of/IN 
le/VBP hundreds/NNS of/IN |    millions/NN->NNS    | of/IN dollars/NNS in/IN a
 of/IN millions/NNS of/IN |    dollars/NN->NNS     | in/IN additional/JJ debt/
ional/JJ debt/NN still/RB |   outstanding/NN->JJ   | from/IN the/DT World/NNP 
 from/IN the/DT World/NNP |      War/NN->NNP       | II/NNP lend-lease/JJ prog
 World/NNP War/NNP II/NNP |   lend-lease/NN->JJ    | program/NN ./.
 the/DT economy/NN is/VBZ |    leveling/NN->VBG    | off/RP ,/, the/DT governm
my/NN is/VBZ leveling/VBG |       off/IN->RP       | ,/, the/DT government/NN 
that/IN orders/NNS for/IN |  manufactured/NN->VBN  | goods/NNS and/CC spending
S for/IN manufactured/VBN |     goods/NN->NNS      | and/CC spending/NN on/IN 
/NN on/IN construction/NN |     failed/NN->VBD     | *-1/-NONE- to/TO rise/VB 
iled/VBD *-1/-NONE- to/TO |      rise/NN->VB       | in/IN September/NNP ./.
                          |    Meanwhile/NN->RB    | ,/, the/DT National/NNP A
NNP Association/NNP of/IN |   Purchasing/NN->NNP   | Management/NNP said/VBD 0
/NNP of/IN Purchasing/NNP |   Management/NN->NNP   | said/VBD 0/-NONE- its/PRP
PRP$ latest/JJS survey/NN |   indicated/NN->VBD    | that/IN the/DT manufactur
icated/VBD that/IN the/DT | manufacturing/VBG->NN  | economy/NN contracted/VBD
October/NNP for/IN the/DT |      sixth/NN->JJ      | consecutive/JJ month/NN .
NP for/IN the/DT sixth/JJ |   consecutive/NN->JJ   | month/NN ./.
                          |      Its/NN->PRP$      | index/NN inched/VBD up/RB
/PRP$ index/NN inched/VBD |       up/RP->RB        | to/TO 47.6/CD %/NN in/IN 
                          |       Any/NN->DT       | reading/NN below/IN 50/CD
ng/NN below/IN 50/CD %/NN |    suggests/NN->VBZ    | 0/-NONE- the/DT manufactu
gests/VBZ 0/-NONE- the/DT | manufacturing/VBG->NN  | sector/NN is/VBZ generall
uring/NN sector/NN is/VBZ |    generally/NN->RB    | declining/VBG ./.
                   The/DT |   purchasing/NN->VBG   | managers/NNS ,/, however/
sing/VBG managers/NNS ,/, |     however/NN->RB     | ,/, also/RB said/VBD that
/IN orders/NNS turned/VBD |       up/RP->RB        | in/IN October/NNP after/I
                          |   Factories/NN->NNS    | booked/VBD $/$ 236.74/CD 
            Factories/NNS |     booked/NN->VBD     | $/$ 236.74/CD billion/CD 
- in/IN September/NNP ,/, |     nearly/NN->RB      | the/DT same/JJ as/IN the/
P ,/, the/DT Commerce/NNP |   Department/NN->NNP   | said/VBD 0/-NONE- *T*-2/-
                          |       If/NN->IN        | not/RB for/IN a/DT 59.6/C
ers/NNS for/IN capital/NN |     goods/NN->NNS      | by/IN defense/NN contract
oods/NNS by/IN defense/NN |  contractors/NN->NNS   | ,/, factory/NN orders/NNS
ders/NNS would/MD have/VB |     fallen/NN->VBN     | 2.1/CD %/NN ./.
               In/IN a/DT |    separate/NN->JJ     | report/NN ,/, the/DT depa
   In/IN a/DT separate/JJ |     report/VB->NN      | ,/, the/DT department/NN 
nstruction/NN spending/NN |      ran/NN->VBD       | at/IN an/DT annual/JJ rat
/CD *U*/-NONE- ,/, not/RB |  significantly/NN->RB  | different/JJ from/IN the/
/CD billion/CD *U*/-NONE- |   reported/VBD->VBN    | */-NONE- for/IN August/NN
                          |     Private/NN->JJ     | construction/NN spending/
on/NN spending/NN was/VBD |      down/RP->RB       | ,/, but/CC government/NN 
ng/NN activity/NN was/VBD |       up/RP->RB        | ./.
h/DT reports/NNS were/VBD |    adjusted/NN->VBN    | *-1/-NONE- */-NONE- to/TO
*-1/-NONE- */-NONE- to/TO |     remove/NN->VB      | the/DT effects/NNS of/IN 
E- to/TO remove/VB the/DT |    effects/NN->NNS     | of/IN usual/JJ seasonal/J
 the/DT effects/NNS of/IN |      usual/NN->JJ      | seasonal/JJ patterns/NNS 
ffects/NNS of/IN usual/JJ |    seasonal/NN->JJ     | patterns/NNS ,/, but/CC w
f/IN usual/JJ seasonal/JJ |    patterns/NN->NNS    | ,/, but/CC were/VBD n't/R
/, but/CC were/VBD n't/RB |    adjusted/NN->VBN    | for/IN inflation/NN ./.
                          |    Kenneth/NN->NNP     | Mayland/NNP ,/, economist
              Kenneth/NNP |    Mayland/NN->NNP     | ,/, economist/NN for/IN S
P ,/, economist/NN for/IN |    Society/NN->NNP     | Corp./NNP ,/, a/DT Clevel
ty/NNP Corp./NNP ,/, a/DT |   Cleveland/NN->NNP    | bank/NN ,/, said/VBD 0/-N
orts/NNS of/IN factory/NN |     goods/NN->NNS      | is/VBZ beginning/VBG *-1/
ning/VBG *-1/-NONE- to/TO |      taper/NN->VB      | off/RP ./.
*-1/-NONE- to/TO taper/VB |       off/IN->RP       | ./.
 the/DT spring/NN has/VBZ |     failed/NN->VBN     | *-1/-NONE- to/TO revive/V
iled/VBN *-1/-NONE- to/TO |     revive/NN->VB      | the/DT residential/JJ con
E- to/TO revive/VB the/DT |   residential/NN->JJ   | construction/NN industry/
 What/WP sector/NN is/VBZ |   *T*-46/NN->-NONE-    | stepping/VBG forward/RB *
r/NN is/VBZ *T*-46/-NONE- |    stepping/NN->VBG    | forward/RB *-2/-NONE- to/
rward/RB *-2/-NONE- to/TO |      pick/NN->VB       | up/RP the/DT slack/NN ?/.
/VB up/RP the/DT slack/NN |        ?/NN->.         | ''/'' he/PRP asked/VBD *T
